54 1872 1179  232 2053 1200  786 1946 1923 1114 1042 1073 1358 2667 2174 1771 1745 -1.0078 10.0236 0.2179 0.1172 0.0000 0.0676 1.0310 0.0000 1.2101 800.0000 128.2689 1.0109 3.9863 133.2661 
55 1872 1481  888 2095 1802 1099 1946  560 1114 1171 1073 1304 2667 2481 2018 1888 -1.1719 8.2537 0.1265 0.1016 0.0000 0.0676 1.0109 0.0000 1.1609 800.0000 124.9543 1.0738 3.9999 130.0281 
56 1976  218 1963 2902 1508 2595 1759 1207 1340  700  341 1866  489  218  775 2432 -1.3359 3.7996 0.1017 0.0469 0.0000 0.0676 0.9917 0.0000 1.2199 800.0000 128.2706 1.2003 3.9067 133.3777 
57  184 2250 2915 2051 1508 1771 2163 1207 1725  700  901 1866  993  218 1172 2432 -2.2891 4.0339 0.0421 0.1328 0.0000 0.0676 0.9763 0.0000 1.1219 800.0000 126.0340 0.9887 4.4610 131.4837 
58  183 2249 2915 2050 1507 1770 2162 1206 1724  699  900 1865  992  217 1171 2431 -1.9531 8.4702 0.0417 0.1250 0.0000 0.0676 1.0361 0.0902 1.1219 800.0000 144.5478 1.3151 4.1289 149.9919 
59  185 2251 2914 2052 1509 1772 2164 1208 1726  701  902 1867  994  219 1173 2433 -1.8359 5.6500 0.0410 0.1016 0.0000 0.0676 1.0126 0.0797 1.1219 800.0000 141.8112 1.0458 4.7460 147.6030 
60  183 2249 2922 2050 1507 1770 2162 1206 1724  699  900 1865  992  217 1171 2431 -1.9062 6.1959 0.0424 0.1094 0.0000 0.0676 0.9835 0.0567 1.1219 800.0000 130.9569 1.0111 4.4717 136.4396 
61  182 2248 2907 2049 1506 1769 2161 1205 1723  698  899 1864  991  216 1170 2430 -1.6797 7.1486 0.0380 0.0938 0.0000 0.0676 0.9753 0.0492 1.1219 800.0000 134.2378 1.3664 5.5036 141.1078 
62  183 2251 2920 2048 1511 1769 2164 1208 1727  698  899 1867  995  221 1170 2433 -1.8516 6.2219 0.0407 0.1094 1.0667 0.0676 1.0124 0.0420 1.1219 800.0000 131.6447 1.0576 4.2032 136.9056 
63  185 2249 2919 2055 1505 1774 2162 1206 1723  703  904 1865  991  215 1175 2431 -1.9531 8.6750 0.0409 0.1406 0.0000 0.0676 1.0141 0.0440 1.1219 800.0000 136.5874 0.9998 4.2195 141.8066 
64  190 2251 2918 2053 1504 1770 2164 1208 1724  699  900 1867  992  214 1171 2433 -1.9844 6.5194 0.0426 0.1172 0.0000 0.0676 1.0031 0.0370 1.1219 800.0000 139.2070 0.9919 5.1919 145.3908 
65  188 2251 2918 2048 1507 1773 2164 1208 1720  702  903 1867  988  217 1174 2433 -1.9453 3.8001 0.0424 0.1562 0.0000 0.0676 0.9915 0.0366 1.1219 800.0000 127.4731 1.0795 4.9188 133.4715 
