 72   2447   2308    432    711   1405   2317 -2.0078 0.8740 0.0078 0.0000 0.0000 0.0100 0.9893 0.0009 0.0019 106.0000 4.4958 28.7244 0.4236 33.6438 
 73   2442   2298    443    725   1411   2302 -2.2500 1.0709 0.0625 0.0000 0.0000 0.0100 0.9971 0.0009 0.0007 77.0000 2.7591 31.4293 0.5052 34.6936 
 74   2441   2298    443    725   1411   2302 -2.0938 1.2195 0.0234 0.0000 0.0000 0.0100 0.9910 0.0008 0.0005 93.0000 3.7988 28.1513 0.3356 32.2856 
 75   2452   2300    443    725   1414   2304 -2.0234 0.9680 0.0000 0.0000 0.0000 0.0100 0.9925 0.0009 0.0006 76.0000 2.6112 27.4529 0.4232 30.4872 
 76   1166   1764    121   1229   1865   1445 -1.6875 1.6024 0.1016 0.0000 0.0000 0.0100 1.0038 0.0006 0.0100 98.0000 3.9336 20.7985 0.3365 25.0685 
 77   2433   2298    442    722   1403   2308 -1.9297 1.3257 0.0469 0.0000 0.0000 0.0100 1.0057 0.0010 0.0006 64.0000 2.7648 26.7122 0.4081 29.8851 
 78   2441   2303    433    719   1414   2295 -2.0078 1.1889 0.0312 0.0000 0.0000 0.0100 1.0393 0.0010 0.0005 89.0000 3.2683 25.1558 0.4986 28.9227 
 79   2446   2306    454    715   1405   2298 -2.0547 0.9812 0.0000 0.0000 0.0000 0.0100 1.0463 0.0010 0.0008 104.0000 3.5041 28.8500 0.3932 32.7474 
 80    777   1089   1962    605   2163   1410 -2.1172 1.0649 0.0000 0.0000 0.0000 0.0100 1.0451 0.0008 0.0006 82.0000 3.2779 22.1203 0.4321 25.8304 
 81    766   1089   1971    600   2157   1398 -2.1328 1.0925 0.0938 0.0000 0.0000 0.0100 1.0431 0.0009 0.0007 93.0000 3.3796 22.7965 0.4649 26.6409 
 82    764   1099   1962    598   2155   1411 -1.7344 0.7950 0.0312 0.0000 0.0000 0.0100 1.0395 0.0009 0.0006 80.0000 3.3224 22.1140 0.2572 25.6936 
 83    525   1022   1973    754   2204   1722 -2.0938 0.9833 0.0312 0.0000 0.0000 0.0100 1.1375 0.0008 0.0013 103.0000 3.9627 22.5826 0.3108 26.8561 
 84    516   1010   1973    744   2217   1720 -1.8828 0.9862 0.0234 0.0000 0.0000 0.0100 1.1384 0.0009 0.0040 115.0000 4.7001 22.3221 0.3615 27.3837 
 85    704   1006   2144    583   2258   1350 -2.1406 0.7202 0.0156 0.0000 0.0000 0.0100 1.1449 0.0001 0.0098 136.0000 5.1669 22.2632 0.6031 28.0332 
 86    695   1015   2140    573   2263   1353 -1.8672 0.8562 0.0234 0.0000 0.0000 0.0100 1.1512 0.0009 0.0065 111.0000 4.2607 21.7473 0.2895 26.2976 
 87    769   1081   1964    601   2165   1403 -2.0703 0.8690 0.0547 0.0000 0.0000 0.0100 1.1675 0.0007 0.0003 130.0000 4.6349 20.9646 0.3137 25.9132 
 88    712    997   2147    592   2253   1347 -2.2812 0.8809 0.0469 0.0000 0.0000 0.0100 1.1789 0.0009 0.0008 117.0000 3.8272 19.7919 0.3090 23.9281 
 89    713    996   2147    593   2252   1346 -1.8359 1.1304 0.0391 0.0000 0.0000 0.0100 1.1712 0.0006 0.0005 139.0000 4.3259 19.6884 0.3646 24.3789 
 90    774   1078   1981    604   2155   1408 -2.0781 0.9702 0.0469 0.0000 0.0000 0.0100 1.1968 0.0008 0.0007 137.0000 4.4012 19.4984 0.3825 24.2822 
 91    708   1000   2152    589   2261   1358 -1.9766 0.9365 0.0469 0.0000 0.0000 0.0100 1.1938 0.0008 0.0006 146.0000 4.3888 21.3013 0.3118 26.0019 
 92   2448   2285    446    738   1400   2285 -1.9844 1.3856 0.0391 0.0000 0.0000 0.0100 1.1955 0.0009 0.0011 121.0000 3.8545 22.8450 0.3486 27.0481 
 93   2437   2304    448    723   1429   2315 -2.0078 1.0157 0.0234 0.0000 0.0000 0.0100 1.1956 0.0010 0.0010 120.0000 4.0123 23.6395 0.3239 27.9758 
 94    759   1076   1947    601   2179   1410 -1.7031 1.4072 0.0078 0.0000 0.0000 0.0100 1.1958 0.0008 0.0011 159.0000 4.8443 18.8467 0.3407 24.0317 
 95    754   1056   2020    613   2192   1368 -1.7891 1.0339 0.0156 0.0000 0.0000 0.0100 1.2349 0.0009 0.0018 173.0000 5.6292 19.1873 0.4843 25.3009 
 96    772   1091   1979    600   2171   1406 -2.0938 0.7156 0.0391 0.0000 0.0000 0.0100 1.2425 0.0008 0.0005 186.0000 5.6390 19.3562 0.5599 25.5550 
 97    708   1011   2141    589   2259   1335 -2.1641 0.9099 0.0547 0.0000 0.0000 0.0100 1.2406 0.0009 0.0017 178.0000 5.1673 19.5063 0.5671 25.2407 
 98    776   1077   2011    626   2219   1380 -2.3672 0.7066 0.0625 0.0000 0.0000 0.0100 1.2374 0.0009 0.0009 173.0000 5.1066 19.5012 0.2891 24.8969 
