13 1345 1775 1129 2185 1262 2833  496 2832 2464 2776 -1.7812 9.0226 0.2211 0.1953 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
14 1058 1159 1864  212 2504 1383 1271 2447 2184  528 -1.5078 7.5117 0.1197 0.0312 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
15 2609 1315 1558 2337  190  393  186  155 1485 2942 -1.9531 2.2970 0.1316 0.0078 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
16 2469  510 1359 1289 2852  576  717 1239  101 1338 -1.4688 4.7392 0.2643 0.0156 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
17 2769  995  577  479 1631 2664 2824  342 2654 2333 -1.9219 3.3482 0.1164 0.0625 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
18 1996  816  372 1569  504 2889 1728  445 2720 1984 -1.4297 6.3415 0.0802 0.0469 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
19  615  626 1713 1768 1499  725  837 1044  634  905 -1.4922 9.0078 0.0684 0.0156 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
20 1535 2211 1440 1987 2134  176 1235 1636  845 1756 -2.1641 2.0437 0.0628 0.1719 1.5556 0.3559 0.9131 0.0001 0.0098 51.0000 2.6780 0.2668 1.0657 4.0106 
21 1574 2252 1457 1967 2194  158 1224 1598  815 1772 -2.3047 2.0560 0.0364 0.1953 1.5294 0.4050 0.8509 0.0001 0.0097 49.0000 2.1046 0.2342 0.9182 3.2570 
22 1641 2338 1487 1937 2304  120 1203 1527  761 1806 -2.1016 2.6274 0.0300 0.1094 1.2941 0.4534 0.7901 0.0001 0.0099 48.0000 2.0607 0.2350 0.9239 3.2196 
23 1616 2462 1479 2010 2349  100 1157 1463  748 1874 -1.7109 4.0969 0.0802 0.1562 0.0000 0.5126 0.7537 0.0000 0.0099 66.0000 2.7850 0.2812 0.9197 3.9858 
24 1583 2251 1460 1958 2202  156 1225 1594  810 1770 -2.3516 1.1274 0.0354 0.1953 2.5455 0.1021 0.7792 0.0010 0.0067 57.0000 2.4283 0.2335 0.9024 3.5642 
25 1586 2251 1461 1954 2205  155 1225 1592  808 1769 -2.1875 4.0591 0.0354 0.2266 2.2143 0.0947 0.7323 0.0010 0.0061 55.0000 2.3423 0.2355 0.9038 3.4816 
26 1592 2246 1465 1950 2209  156 1227 1596  806 1768 -1.8828 4.5452 0.0365 0.1875 1.2500 0.1022 0.7194 0.0009 0.0088 55.0000 2.3609 0.2678 1.0390 3.6676 
27 2742  999  583  475 1627 2656 2799  372 2628 2305 -2.0859 2.3154 0.1314 0.0625 0.0000 0.0303 0.7822 0.0000 0.0223 500.0000 20.3514 0.2748 1.0381 21.6643 
28 2720 1002  587  471 1623 2649 2778  396 2607 2282 -1.6719 5.1041 0.1363 0.0625 0.0000 0.0484 0.7831 0.0009 0.0086 64.0000 2.7303 0.2713 1.0963 4.0979 
29  185 2801 1050 1926 2681 2259 1081  658  244 1174 -1.8750 2.7087 0.0384 0.1328 0.0000 0.0167 0.8197 0.0009 0.0080 96.0000 4.2144 0.2265 0.9093 5.3502 
30 1574 2253 1455 1964 2195  156 1223 1593  813 1771 -2.0234 7.1412 0.0337 0.1641 1.4667 0.0187 0.8311 0.0008 0.0012 69.0000 2.9575 0.2345 0.9302 4.1222 
