28 1889 2112 1393 2175 1941 1027 2025 1274 1504 3000 2866 1653 -2.0078 3.2992 0.0214 0.0938 0.0000 0.5104 0.8767 0.0000 0.0097 74.0000 4.4081 0.3556 1.3110 6.0747 
29 1719 2002 1401 2192 1848 1233 2084 1166 1504 2971 2792 1719 -1.8984 8.6274 0.0607 0.0938 0.0000 0.4726 0.8942 0.0001 0.0098 62.0000 3.4252 0.3923 1.7228 5.5404 
30 1603 2418  770 1688 1688  166 1048 1026  964 2274 1505 2229 -1.4141 6.3863 0.2887 0.1562 0.0000 0.1561 0.8863 0.0000 0.0099 164.0000 9.0428 0.5041 1.3126 10.8595 
31 1814 2049 1410 2161 1876 1133 2054 1230 1502 2943 2814 1658 -2.4688 1.2431 0.0359 0.0781 0.0000 0.1140 0.8747 0.0010 0.0092 81.0000 4.3923 0.4563 1.7378 6.5864 
32 1442 2836 2035 2081  262  354 2292 2186 1797  184 1035 1655 -1.8906 2.7753 0.1487 0.0547 0.0000 0.0590 0.8355 0.0000 0.0722 600.0000 31.7663 0.5209 1.1454 33.4326 
33 1812 2048 1412 2155 1872 1134 2055 1228 1502 2928 2810 1653 -2.1875 2.5787 0.0365 0.0859 0.0000 0.0626 0.8421 0.0010 0.0040 73.0000 4.1485 0.3523 1.3618 5.8626 
34  953 1316 2759  513 1151 1649  626 2889 2749 1358  652 1939 -1.5312 6.5974 0.0187 0.0312 0.0000 0.1078 0.8829 0.0000 0.0818 600.0000 32.6836 0.3873 1.6076 34.6785 
35 1823 2057 1419 2142 1873 1124 2049 1242 1506 2893 2805 1631 -2.2266 5.1687 0.0287 0.1250 0.0000 0.0958 0.8632 0.0010 0.0092 74.0000 4.0549 0.3972 1.4019 5.8540 
36  943 1389 2674  561 1341 1722  664 2787 2554 1548  844 2165 -1.5625 8.5315 0.0456 0.0000 0.0000 0.1087 0.8871 0.0002 0.0095 69.0000 3.9501 0.3013 1.3056 5.5570 
37 1836 2041 1415 2135 1853 1107 2073 1207 1487 2916 2820 1649 -1.7500 11.9213 0.0295 0.0938 0.0000 0.0910 0.8541 0.0002 0.0096 95.0000 5.4904 0.3571 1.4265 7.2740 
38 1404 2850 2035 2061  263  390 2244 2212 1781  153  988 1668 -1.5781 7.4899 0.1641 0.0859 0.0000 0.0326 0.8187 0.0000 0.0185 600.0000 32.2595 0.2871 1.5412 34.0879 
39 1475 2824 2034 2097  262  322 2333 2163 1811  212 1077 1644 -1.6484 7.8203 0.1331 0.0625 0.0000 0.0317 0.8126 0.0006 0.0090 52.0000 2.9369 0.3930 1.4622 4.7921 
40 1341 2980 2001 1907  382  447 2101 2309 1757  204  991 1758 -1.7969 2.1946 0.1794 0.0469 0.0000 0.0309 0.8082 0.0000 0.0100 87.0000 5.0354 0.2884 1.1521 6.4758 
41 1403 2970 2002 1934  389  394 2177 2276 1783  260 1071 1741 -1.3828 7.8917 0.1485 0.0078 0.0000 0.0310 0.8065 0.0000 0.0100 149.0000 8.4648 0.2906 1.2216 9.9770 
