# iter                                         point                                        energy   fidelity  variance  corr_length const_kernel std_energies average_distances nit time_opt_bayes time_qaoa time_opt_kernel time_step 
  48 +0.60294957 +2.02160860 +2.52493857 +1.10974988 +1.03253241 +1.99592792 +2.63617287 +0.27987899 -7.51184381 +0.73865485 +7.57285596 +0.43147626 +14.76661693 +0.00088283 +0.00555932       72 +1.52241278 +0.00000095 +0.86417103 +2.38658595 
  49 +1.08935891 +0.95576482 +1.81760738 +0.86521387 +0.98258601 +2.01455198 +1.96699596 +0.05382822 -8.14457824 +0.80132836 +3.21058257 +0.43605966 +14.67669676 +0.00077303 +0.00190365       65 +1.39415097 +0.00000095 +0.86535406 +2.25950694 
  50 +1.08976531 +0.95588143 +1.81767368 +0.86508268 +0.98212540 +2.01452864 +1.96687918 +0.05420060 -8.14272782 +0.80087365 +3.21606776 +0.43619738 +14.66595869 +0.00092674 +0.00226699       62 +1.33458304 +0.00000000 +0.86288905 +2.19747305 
  51 +1.08380026 +0.95468601 +1.81618018 +0.86600679 +0.98908112 +2.01613667 +1.96871813 +0.05260536 -8.16450788 +0.80683276 +3.16777238 +0.43627964 +14.65857594 +0.00085438 +0.00266833       70 +1.48982620 +0.00000000 +0.85767865 +2.34750605 
  52 +1.07962870 +0.95403466 +1.81487633 +0.86622685 +0.99407071 +2.01772531 +1.96999321 +0.05302278 -8.17657020 +0.81041281 +3.14881353 +0.43627765 +14.65494382 +0.00076435 +0.00190437       71 +1.54389977 +0.00000119 +0.85994482 +2.40384698 
  53 +1.07373729 +0.95321441 +1.81278748 +0.86620070 +1.00114752 +2.02025963 +1.97178985 +0.05377165 -8.18984585 +0.81464305 +3.13630047 +0.43622640 +14.64551135 +0.00081069 +0.00192792       64 +1.37893724 +0.00000000 +0.86918283 +2.24812126 
  54 +1.06846840 +0.95257175 +1.81067178 +0.86584743 +1.00753556 +2.02279637 +1.97338947 +0.05446513 -8.19772177 +0.81752408 +3.14006617 +0.43605675 +14.63246346 +0.00087325 +0.00196444       69 +1.46209788 +0.00000000 +0.87058592 +2.33268476 
  55 +0.68429344 +2.08366388 +2.48144959 +1.08434865 +1.09204709 +2.08978967 +2.58098674 +0.36738639 -6.60231685 +0.56304136 +10.01828515 +0.43588087 +14.62568009 +0.00079094 +0.00770015       66 +1.42478514 +0.00000119 +0.88327074 +2.30805826 
  56 +3.14159265 +3.14159265 +0.01000000 +3.14159265 +3.14159265 +0.01000000 +0.01000000 +3.14159265 -4.49820069 +0.03113766 +2.25000072 +0.42885367 +14.37880105 +0.00088615 +0.00836434      123 +2.49944592 +0.00000000 +0.87841892 +3.37786603 
  57 +1.06414929 +0.94961379 +1.80848812 +0.86531995 +1.00980097 +2.02387511 +1.97314916 +0.05268522 -8.20017312 +0.81831541 +3.14149383 +0.43327399 +14.68778838 +0.00091988 +0.00178252       66 +1.41168189 +0.00000000 +0.88540196 +2.29708481 
  58 +1.06273433 +0.94919627 +1.80771915 +0.86508699 +1.01104563 +2.02462754 +1.97325306 +0.05257874 -8.19997636 +0.81856018 +3.15111749 +0.43319493 +14.68440879 +0.00089668 +0.00177846       71 +1.51528716 +0.00000072 +0.88743210 +2.40272117 
  59 +0.49672825 +1.96413648 +2.60765860 +1.07965894 +0.95874799 +1.89074322 +2.61905903 +0.26462804 -7.23600659 +0.60155897 +6.10835521 +0.43318090 +14.68262316 +0.00081148 +0.00494817       65 +1.39287281 +0.00000095 +0.89008212 +2.28295684 
  60 +1.06291862 +0.94979026 +1.80748686 +0.86570307 +1.01217385 +2.02459396 +1.97343597 +0.05243031 -8.20192455 +0.81931986 +3.15379184 +0.42985840 +14.30461280 +0.00092484 +0.00193093       63 +1.41725612 +0.00000095 +0.89262605 +2.30988407 
  61 +1.06214273 +0.94962580 +1.80700752 +0.86564782 +1.01300856 +2.02498591 +1.97352417 +0.05236901 -8.20187317 +0.81950514 +3.16017803 +0.42980565 +14.30442200 +0.00094082 +0.00192343       66 +1.42205691 +0.00000000 +0.89329791 +2.31535602 
  62 +1.06199952 +0.94959470 +1.80691611 +0.86563785 +1.01315825 +2.02505825 +1.97353606 +0.05235358 -8.20183839 +0.81953451 +3.16147945 +0.42978290 +14.30417089 +0.00096104 +0.00205729       66 +1.41827917 +0.00000000 +0.89870381 +2.31698418 
  63 +1.06189841 +0.94957247 +1.80684940 +0.86563015 +1.01326276 +2.02510952 +1.97354324 +0.05234244 -8.20180070 +0.81955296 +3.16247086 +0.42976870 +14.30400795 +0.00094577 +0.00189492       69 +1.48771095 +0.00000000 +0.89983106 +2.38754296 
  64 +1.06182290 +0.94955634 +1.80680066 +0.86562317 +1.01334032 +2.02514747 +1.97354871 +0.05233449 -8.20177030 +0.81956594 +3.16320672 +0.42975953 +14.30388661 +0.00090863 +0.00182070       70 +1.52115011 +0.00000000 +0.91893983 +2.44009089 
