 75   3000    521   2131   1188   1360    774   3000   1050   1012   2262 -2.1328 1.3129 0.1719 0.1146 1.4667 0.6870 0.2082 0.0009 0.0078 99.0000 161.9887 0.2632 0.0018 162.2537 
 76   3000    100   2999   2999   1165   3000   3000    100    100    438 -2.4141 1.0634 0.0938 0.0238 0.0000 1.9201 0.8496 0.0004 0.0099 272.0000 440.8251 0.2752 0.0018 441.1021 
 77   2902    494   1766   1342   1665    844   3000    392   1023   1586 -3.0781 1.2694 0.5391 0.1088 3.4500 1.0371 6.3649 0.0004 0.0096 90.0000 149.2665 0.2425 0.0018 149.5108 
 78   2900    484   1797   1333   1621    843   2999    453    995   1616 -2.8281 1.5135 0.4609 0.1177 4.5385 0.1099 4.8698 0.0009 0.0085 56.0000 92.5406 0.2872 0.0018 92.8295 
 79   3000    100   1267   1880   3000   3000   3000    100    726   1743 -2.6953 1.1112 0.2734 0.2079 2.1875 1.4373 1.8436 0.0002 0.0090 192.0000 314.8139 0.2860 0.0018 315.1018 
 80   2912    535   1667   1328   1776    853   3000    231   1108   1541 -2.8516 1.3085 0.4297 0.0876 2.2917 0.2203 9.7565 0.0008 0.0096 50.0000 83.2438 0.2418 0.0018 83.4874 
 81   3000    100   1999   1971   2674   3000   1860    100    438   1871 -1.8203 1.0147 0.0156 0.0154 0.0000 1.3452 7.9765 0.0001 0.0097 139.0000 228.8727 0.2727 0.0018 229.1473 
 82   2882    513   1685   1437   1688    860   3000    387   1034   1567 -3.1016 1.2258 0.5547 0.1307 3.9444 0.1497 1.8151 0.0004 0.0091 58.0000 96.4632 0.2420 0.0018 96.7070 
 83   3000    609   1224   1292   2268   1288   3000    100   1310   1703 -2.1094 1.4525 0.1562 0.1089 1.3333 1.7176 8.1930 0.0004 0.0095 127.0000 208.6673 0.2514 0.0018 208.9205 
 84   3000    100    666   3000   3000   3000   3000    100    100   1249 -2.2109 1.4748 0.1797 0.0952 1.0952 1.3894 9.2439 0.0001 0.0100 278.0000 449.0278 0.2789 0.0020 449.3087 
 85    756   3000   3000    100   3000   3000    100   3000    701   1552 -2.2891 0.5063 0.0312 0.0177 0.0000 1.3112 6.5102 0.0001 0.0099 226.0000 365.6015 0.2870 0.0021 365.8906 
 86   1179   3000   3000    100   2132   2579    730   2375    968    100 -1.6328 1.1476 0.0469 0.0273 0.0000 0.4113 1.1501 0.0000 0.0093 140.0000 231.0585 0.2567 0.0019 231.3171 
 87   3000    100   3000   3000   3000   3000   3000    100   3000   1217 -1.7188 1.0541 0.0234 0.0033 0.0000 1.3463 0.9145 0.0005 0.0100 298.0000 486.8630 0.3579 0.0022 487.2230 
 88    100   3000   3000    100   3000   3000    100   3000   2715   3000 -1.6719 1.0726 0.0703 0.0554 0.0000 1.3683 3.6536 0.0005 0.0100 252.0000 413.5869 0.3349 0.0023 413.9240 
 89    288   3000   1339   3000   3000   3000   1945   3000    100   3000 -2.2109 0.6717 0.0469 0.1954 0.0000 1.7471 8.4172 0.0000 0.0100 236.0000 387.2415 0.3841 0.0022 387.6278 
 90   2999   2999    100   2999   2999   2999   2999    100    100    100 -1.5703 0.9714 0.0391 0.1494 0.0000 1.9548 0.9335 0.0010 0.0003 351.0000 568.3113 0.2905 0.0020 568.6038 
 91   1535   3000    100    276   3000   3000    100   3000    100   3000 -2.0469 0.9584 0.0781 0.0941 0.0000 1.6264 8.7150 0.0003 0.0099 218.0000 357.4818 0.2739 0.0020 357.7577 
 92   2818    496   1634   1543   1711    790   3000    445   1015   1620 -2.9219 1.2694 0.4609 0.1466 4.2143 0.3043 3.5676 0.0004 0.0094 80.0000 133.1746 0.2433 0.0019 133.4198 
 93    100   3000   3000    548   1396   2209   1726   1840   2267    846 -2.2031 0.7458 0.0000 0.0247 0.0000 0.8553 4.3601 0.0001 0.0098 129.0000 212.7289 0.2656 0.0019 212.9964 
 94    100   2999    100   2999   2999    100   2999   2999   2999   2999 -2.1562 1.1250 0.0547 0.0812 0.0000 1.7726 0.8775 0.0010 0.0002 361.0000 592.1018 0.3317 0.0020 592.4355 
 95    790   3000    100   3000   3000    275    100   3000   1676   3000 -1.8125 0.5000 0.0000 0.1146 0.0000 1.4451 9.4940 0.0000 0.0098 229.0000 375.8062 0.2838 0.0023 376.0922 
 96   2895    508   1712   1414   1692    863   3000    360   1041   1545 -3.1406 1.2399 0.5781 0.1206 4.3529 0.1440 8.4510 0.0009 0.0076 60.0000 99.4451 0.2426 0.0019 99.6896 
 97    100    100    100   3000   3000   3000   3000   3000   3000   3000 -2.0938 0.9518 0.0391 0.0676 0.0000 1.4188 1.6118 0.0010 0.0007 376.0000 613.9086 0.3318 0.0021 614.2426 
 98   2999    100   2999    100    100   2999   2999    100    100   2999 -1.6953 0.7017 0.0078 0.0676 0.0000 1.6658 0.2003 0.0010 0.0001 387.0000 627.2529 0.2527 0.0020 627.5077 
 99    100   3000    100   3000   3000   3000   3000    100   3000   3000 -2.0859 0.7406 0.0938 0.1110 0.0000 1.6953 2.2759 0.0009 0.0004 356.0000 583.3591 0.3770 0.0020 583.7381 
100    100   1358   3000   3000   2750    100   3000   3000    100    100 -1.8047 2.1269 0.2266 0.0201 1.2609 0.5468 2.2354 0.0001 0.0099 255.0000 418.9795 0.2621 0.0020 419.2437 
101   2891    281   1820   1453   1586    798   3000    408   1091   1321 -3.1172 1.2066 0.5625 0.0722 5.5385 0.6771 9.8044 0.0003 0.0092 135.0000 221.0885 0.2386 0.0020 221.3292 
102   2969    100    540   1540   3000   3000   3000    570    273   2619 -2.6094 1.8462 0.4062 0.0839 4.7273 0.9227 6.3699 0.0001 0.0098 189.0000 308.5457 0.2868 0.0020 308.8345 
103   3000    100    100   1733   3000   3000   3000   2133    929   3000 -1.8984 1.2416 0.0234 0.1682 0.0000 1.1309 6.0139 0.0001 0.0097 250.0000 411.9786 0.3238 0.0021 412.3045 
104    100   3000   2797   3000   3000   3000   3000   1201    100   3000 -1.9844 0.9131 0.0547 0.0052 0.0000 1.0283 6.0426 0.0000 0.0100 303.0000 493.1152 0.3464 0.0024 493.4639 
105    100   3000    100    100   3000    100    100    100   3000   1338 -2.0703 1.1682 0.0859 0.0166 0.0000 1.9387 5.3145 0.0002 0.0099 350.0000 575.1090 0.1791 0.0021 575.2902 
106    100   1464   3000   3000    100    100    100    100   3000   3000 -1.5547 0.8316 0.0156 0.0093 0.0000 0.7762 2.8426 0.0001 0.0099 315.0000 515.3587 0.2239 0.0021 515.5847 
107    100   3000    100    100    100    100   3000   3000   3000   3000 -1.8750 0.8976 0.0078 0.0101 0.0000 0.4717 0.3915 0.0010 0.0024 274.0000 451.0422 0.2454 0.0021 451.2897 
108    100    100   3000   3000   3000   3000    100   3000   3000    100 -2.0000 0.8031 0.0234 0.0507 0.0000 1.9822 9.8930 0.0010 0.0016 264.0000 430.0545 0.2895 0.0021 430.3460 
109   1373   3000   3000   1742   3000   3000    100   3000    100   3000 -2.0781 0.5450 0.0234 0.0163 0.0000 0.8680 4.3444 0.0001 0.0100 266.0000 438.0584 0.3332 0.0024 438.3939 
110   2889    412   1745   1453   1637    841   3000    394   1061   1439 -2.8984 1.2888 0.4766 0.0901 3.0500 0.1383 0.8157 0.0009 0.0084 61.0000 101.0611 0.2858 0.0021 101.3490 
111    266   3000   3000    100   1895   2533   1360   2257   2434    100 -2.3828 0.9940 0.0234 0.0678 0.0000 0.5047 9.8262 0.0001 0.0100 129.0000 211.7743 0.2672 0.0021 212.0436 
112    100   3000   3000    100    100    100    100    100   3000    100 -2.3984 1.3282 0.2734 0.1875 1.5217 0.7108 0.3901 0.0010 0.0005 329.0000 542.9113 0.1595 0.0021 543.0729 
113    123   3000   3000    100   1035   1858   1671   2220   1607    100 -2.3984 1.1392 0.1641 0.0394 1.3125 0.6794 9.5769 0.0001 0.0098 136.0000 223.9887 0.2350 0.0021 224.2258 
114   3000    505   1912   1478   1492    654   3000    295   1063   1391 -2.8359 1.3666 0.4531 0.0495 3.0526 0.3657 0.2083 0.0009 0.0068 106.0000 175.7985 0.2383 0.0021 176.0389 
115   1656   3000    100    100    100    100    100    100   3000    100 -2.1562 0.7470 0.0391 0.1959 0.0000 1.5600 8.1893 0.0004 0.0097 278.0000 454.3531 0.1405 0.0022 454.4957 
116    100   3000    100    100   3000    100   3000    100   3000   3000 -1.2188 1.4321 0.0078 0.0917 0.0000 1.2806 1.4584 0.0010 0.0004 288.0000 470.5221 0.2455 0.0022 470.7698 
117   3000   1216   3000   2250    100    100   3000    100   2699    100 -1.8281 1.7970 0.2188 0.1063 1.6471 1.7789 4.2936 0.0002 0.0098 256.0000 418.8353 0.2458 0.0022 419.0833 
118    100   3000   3000   3000    100   3000   2140    100   1447   1521 -2.1016 1.4148 0.1875 0.0158 0.0000 1.0151 5.1499 0.0001 0.0098 198.0000 324.7193 0.2746 0.0022 324.9961 
119   3000   3000    100   3000   3000   3000    100    100   3000   3000 -1.8203 0.7470 0.0078 0.0550 0.0000 1.7861 4.8277 0.0010 0.0007 290.0000 477.0728 0.3316 0.0025 477.4069 
120    100   3000   3000    100   1193    100    961    100   3000    100 -2.0078 0.5432 0.0312 0.0852 0.0000 0.5469 4.9378 0.0002 0.0097 255.0000 420.2671 0.1910 0.0022 420.4603 
121   2999    100    100   1928   1294    100   2999    100    100    100 -2.0156 0.7242 0.0234 0.0166 0.0000 1.6359 0.4936 0.0007 0.0062 241.0000 395.9216 0.1638 0.0022 396.0876 
122   2905    165   1859   1439   1566    822   3000    430   1122   1200 -3.2422 1.3503 0.6641 0.0683 10.6250 0.2602 6.9225 0.0006 0.0098 71.0000 118.4577 0.2352 0.0022 118.6951 
123    309   1722   3000   1739   1023   1024   1797   2195   1522    399 -1.6875 0.7362 0.0312 0.0094 0.0000 0.7298 7.7387 0.0000 0.0085 76.0000 127.0486 0.2821 0.0023 127.3329 
124    946   3000   1936   3000   1012    100   2899   2344    257   1089 -2.1094 0.9328 0.0234 0.0162 0.0000 0.7857 6.4523 0.0000 0.0096 115.0000 193.5756 0.2666 0.0022 193.8445 
125   3000   3000    100    100    100    100    100   3000   3000   3000 -2.2969 1.2025 0.1562 0.0886 1.4286 1.8541 5.7256 0.0010 0.0012 259.0000 426.3028 0.2467 0.0023 426.5518 
